,Store ID,Store Location,Product ID,Product Name,Product Category,Current Stock,Reorder Level,Reorder Quantity,Last Restock Date,Projected Demand
0,S001,Philadelphia,P001,Clotrimazole,Dermatological (OTC & Prescription),29,7,25,2024-02-04,32
1,S001,San Diego,P001,Ranitidine,Gastrointestinal (OTC & Prescription),93,9,24,2024-01-01,25
2,S001,Houston,P001,Ibuprofen,Pain Relief (OTC & Prescription),15,9,20,2024-07-18,44
3,S001,New York City,P001,Metoprolol,Cardiovascular Diseases (Prescription),51,5,24,2024-01-28,42
4,S001,Dallas,P001,Montelukast,Respiratory Diseases (OTC & Prescription),56,12,24,2024-08-31,24
5,S001,Phoenix,P001,Amoxicillin,Antibiotics (Prescription),99,19,47,2024-04-27,25
6,S001,Houston,P001,Artificial Tears,Eye Health (OTC & Prescription),49,13,48,2024-07-29,25
7,S001,New York City,P001,Sertraline,Mental Health (Prescription),23,19,26,2024-08-04,43
8,S001,Houston,P001,Efavirenz,AIDS Treatment (Prescription),56,11,25,2024-05-29,10
9,S001,Dallas,P001,Glyburide,Diabetes (Prescription & OTC),13,9,41,2024-05-25,28
10,S001,Phoenix,P002,Loratadine,Eye Health (OTC & Prescription),44,12,22,2024-08-15,33
11,S001,Houston,P002,Aspirin,Pain Relief (OTC & Prescription),75,5,24,2024-02-09,33
12,S001,San Antonio,P002,Acetaminophen,Pain Relief (OTC & Prescription),70,15,26,2024-01-12,16
13,S001,New York City,P002,Vitamin D,Bone Health (OTC & Prescription),93,19,48,2024-05-22,13
14,S001,Dallas,P002,Azithromycin,Antibiotics (Prescription),41,7,39,2024-01-26,30
15,S002,Philadelphia,P002,Amoxicillin,Antibiotics (Prescription),61,17,20,2024-01-28,25
16,S002,Houston,P002,Glyburide,Diabetes (Prescription & OTC),80,19,37,2024-01-24,49
17,S002,New York City,P002,Emtricitabine,AIDS Treatment (Prescription),75,19,29,2024-06-07,12
18,S002,Houston,P002,Sertraline,Mental Health (Prescription),63,13,36,2024-03-08,22
19,S002,San Antonio,P002,Fluticasone,Respiratory Diseases (OTC & Prescription),82,12,21,2024-01-20,17
20,S002,San Antonio,P003,Alendronate,Bone Health (OTC & Prescription),42,12,45,2024-04-11,32
21,S002,Dallas,P003,Ciprofloxacin,Antibiotics (Prescription),41,10,24,2024-04-04,48
22,S002,San Antonio,P003,Montelukast,Respiratory Diseases (OTC & Prescription),87,9,21,2024-07-18,43
23,S002,Philadelphia,P003,Tenofovir,AIDS Treatment (Prescription),50,10,47,2024-07-11,33
24,S002,Chicago,P003,Omeprazole,Gastrointestinal (OTC & Prescription),24,13,39,2024-08-19,30
25,S002,Dallas,P003,Cisplatin,Cancer Treatment (Prescription),47,10,45,2024-04-24,25
26,S002,Los Angeles,P003,Metoprolol,Cardiovascular Diseases (Prescription),22,11,40,2024-01-15,28
27,S002,Chicago,P003,Oxycodone,Pain Relief (OTC & Prescription),65,5,34,2024-06-05,29
28,S002,San Diego,P003,Ranitidine,Gastrointestinal (OTC & Prescription),31,18,32,2024-08-30,17
29,S002,Philadelphia,P003,Loratadine,Eye Health (OTC & Prescription),49,6,25,2024-08-14,40
30,S003,Dallas,P004,Glyburide,Diabetes (Prescription & OTC),43,6,48,2024-01-09,16
31,S003,Houston,P004,Montelukast,Respiratory Diseases (OTC & Prescription),23,13,39,2024-05-26,42
32,S003,Chicago,P004,Metoprolol,Cardiovascular Diseases (Prescription),97,12,42,2024-07-24,42
33,S003,Houston,P004,Doxorubicin,Cancer Treatment (Prescription),40,8,30,2024-04-20,39
34,S003,Philadelphia,P004,Olopatadine,Eye Health (OTC & Prescription),26,11,31,2024-06-04,11
35,S003,San Antonio,P004,Glipizide,Diabetes (Prescription & OTC),30,14,46,2024-01-22,14
36,S003,Los Angeles,P004,Hydrocortisone,Dermatological (OTC & Prescription),47,13,31,2024-04-26,24
37,S003,Houston,P004,Olopatadine,Eye Health (OTC & Prescription),19,17,20,2024-05-30,44
38,S003,San Antonio,P004,Fluticasone,Respiratory Diseases (OTC & Prescription),18,15,32,2024-05-26,39
39,S003,Philadelphia,P004,Loperamide,Gastrointestinal (OTC & Prescription),47,16,28,2024-06-06,44
40,S003,Chicago,P005,Acetaminophen,Pain Relief (OTC & Prescription),39,9,34,2024-04-16,14
41,S003,Los Angeles,P005,Benzoyl Peroxide,Dermatological (OTC & Prescription),22,7,29,2024-02-26,16
42,S003,San Jose,P005,Atenolol,Cardiovascular Diseases (Prescription),59,14,49,2024-04-02,39
43,S003,Houston,P005,Citalopram,Mental Health (Prescription),91,8,30,2024-09-14,18
