,Vendor ID,Vendor Name,Product Category,Supply Rate
0,V001,Ellis-Farmer,Cancer Treatment (Prescription),1.038399201275083
1,V002,Edwards PLC,Eye Health (OTC & Prescription),1.0975627426322683
2,V003,"Smith, Watkins and Good",Cancer Treatment (Prescription),0.9609200106939071
3,V004,Baird Ltd,Mental Health (Prescription),0.8184604978576862
4,V005,Yang Inc,Pain Relief (OTC & Prescription),1.1964829500024377
5,V006,Sandoval-Wang,Antibiotics (Prescription),1.1963162378372854
6,V007,Munoz-Ramos,Cardiovascular Diseases (Prescription),1.1053566658285818
7,V008,Hamilton-Callahan,Diabetes (Prescription & OTC),0.8739651694175675
8,V009,"White, Burke and Jones",AIDS Treatment (Prescription),0.8397079795820396
9,V010,Stewart Group,Diabetes (Prescription & OTC),0.8176643627909395
